date,M.BCPI,M.BCNE,M.ENER,M.MTLS,M.FOPR,M.AGRI,M.FISH,quarter
1990-06-30,266.5933333333333,238.83,415.77666666666664,295.16333333333336,279.09,185.58,434.02,1990Q2
1990-09-30,283.43333333333334,233.49,532.9233333333333,318.01,274.69,167.36666666666665,254.86666666666667,1990Q3
1990-12-31,286.9733333333333,220.09,622.8966666666666,294.2633333333333,256.82666666666665,159.01333333333332,365.03000000000003,1990Q4
1991-03-31,260.4266666666667,215.00666666666666,484.3066666666667,280.20666666666665,247.63666666666666,160.49666666666667,464.1666666666667,1991Q1
1991-06-30,256.74,215.79,458.05999999999995,271.62333333333333,252.91333333333333,165.10333333333332,380.53000000000003,1991Q2
1991-09-30,246.56333333333336,202.54666666666665,462.6233333333333,263.28000000000003,235.15666666666667,155.09,217.31333333333336,1991Q3
1991-12-31,246.33,198.99666666666667,479.47333333333336,254.98000000000002,229.14666666666668,151.82,396.8233333333333,1991Q4
1992-03-31,246.38666666666666,209.41333333333333,429.4766666666667,260.4666666666667,240.89333333333335,160.76333333333332,599.1666666666666,1992Q1
1992-06-30,255.59333333333333,214.20666666666668,459.1366666666667,263.57,243.93666666666664,168.54999999999998,627.2766666666666,1992Q2
1992-09-30,257.0,212.63333333333333,474.43333333333334,268.43333333333334,244.68999999999997,162.63666666666666,534.9633333333334,1992Q3
1992-12-31,254.59333333333333,209.01333333333332,478.2033333333333,246.29,249.17666666666665,162.0533333333333,574.7633333333333,1992Q4
1993-03-31,266.45666666666665,228.42666666666665,455.4866666666667,243.97333333333333,301.05,167.42333333333332,672.1566666666666,1993Q1
1993-06-30,258.1766666666667,217.08,460.46999999999997,241.33666666666667,266.75,169.73,622.9966666666667,1993Q2
1993-09-30,248.41,212.20666666666668,427.81333333333333,240.67999999999998,253.33,171.9433333333333,519.3333333333334,1993Q3
1993-12-31,255.88666666666668,225.27666666666664,413.2033333333334,232.75,294.1666666666667,173.71,575.7866666666667,1993Q4
1994-03-31,262.62666666666667,238.77666666666667,394.8566666666666,253.54,310.9066666666667,181.12,609.9533333333334,1994Q1
1994-06-30,263.33,235.14000000000001,412.9166666666667,263.92333333333335,299.84666666666664,174.79666666666665,607.36,1994Q2
1994-09-30,262.35999999999996,234.95666666666668,408.7033333333334,280.51,305.15333333333336,158.79666666666665,612.1466666666666,1994Q3
1994-12-31,264.4433333333333,242.33,390.34,308.87,313.91333333333336,154.5533333333333,607.32,1994Q4
1995-03-31,271.6333333333333,252.17666666666665,387.53999999999996,316.69666666666666,326.05333333333334,162.25666666666666,686.6633333333333,1995Q1
1995-06-30,274.1266666666666,252.45000000000002,400.3233333333333,309.56666666666666,325.43,167.70333333333335,681.91,1995Q2
1995-09-30,283.31333333333333,270.25666666666666,374.41333333333336,317.41,355.93333333333334,182.1,662.4033333333333,1995Q3
1995-12-31,289.92333333333335,273.4066666666667,396.06,304.8233333333333,369.8333333333333,184.82666666666668,664.1899999999999,1995Q4
1996-03-31,290.43,262.78333333333336,442.41,301.15000000000003,341.07666666666665,186.51333333333332,627.3966666666666,1996Q1
1996-06-30,298.65000000000003,269.99333333333334,456.0366666666667,294.4433333333333,342.60999999999996,207.85666666666665,628.4033333333333,1996Q2
1996-09-30,295.09999999999997,264.1666666666667,460.27666666666664,276.5833333333333,354.7166666666667,193.26999999999998,637.3100000000001,1996Q3
1996-12-31,302.82,256.9166666666667,533.25,275.39,354.1333333333334,173.49,810.13,1996Q4
1997-03-31,296.81,253.74666666666667,519.3866666666667,288.77666666666664,340.12666666666667,168.39000000000001,877.1633333333333,1997Q1
1997-06-30,281.18333333333334,256.3333333333333,427.09,286.77333333333337,343.79333333333335,172.97666666666666,881.1666666666666,1997Q2
