M.BCPI,M.BCNE,M.ENER,M.MTLS,M.FOPR,M.AGRI,M.FISH,quarter,M.BCPI_growth,M.BCNE_growth,M.ENER_growth,M.MTLS_growth,M.FOPR_growth,M.AGRI_growth,M.FISH_growth
257.09,228.09666666666664,399.98,331.45,259.49666666666667,149.98333333333335,458.3966666666667,1988Q1,3.5637076524377864,7.334556805169945,-5.035732092404843,11.922154812421915,5.990551266865429,4.372535374623054,8.126022141149836
276.37666666666667,250.27666666666667,406.12000000000006,394.4633333333333,266.8966666666667,166.34333333333333,460.7266666666667,1988Q2,7.501912430147684,9.723947449180926,1.5350767538377053,19.01141449187911,2.8516743953037382,10.907878653183678,0.5082933994575267
266.8566666666666,245.0333333333333,376.8533333333333,361.9166666666667,264.63000000000005,174.63666666666666,413.35,1988Q3,-3.4445744334422934,-2.095014850232424,-7.206408614859338,-8.250872493429885,-0.8492675067753974,4.985672204075908,-10.283031153684764
268.03333333333336,247.3,373.57666666666665,373.4466666666667,264.87333333333333,172.8766666666667,452.6233333333333,1988Q4,0.44093583321884733,0.9250442116718993,-0.8694806113784259,3.185816256044216,0.09195228558109836,-1.0078066843541622,9.501229789121378
285.39,255.3766666666667,432.3433333333333,384.59,272.1166666666666,180.65666666666667,463.91333333333336,1989Q1,6.475562740952601,3.2659388057689753,15.730818305925599,2.983915597050868,2.7346404570738114,4.500318145884341,2.4943477652499935
281.29,246.31333333333336,451.2466666666666,347.95666666666665,271.75,180.1733333333333,366.32,1989Q2,-1.4366305757034126,-3.5490060433607917,4.372296708634327,-9.525295336158857,-0.13474612604885694,-0.2675424839013507,-21.036975297110093
272.1066666666666,238.31333333333336,436.36,325.37,272.15333333333336,174.53333333333333,243.6733333333333,1989Q3,-3.2647208693282304,-3.247895634286946,-3.2990086722708756,-6.491229750831041,0.1484207298374951,-3.130318952120159,-33.480745432044856
274.05333333333334,236.2266666666667,458.3966666666667,310.96666666666664,270.6933333333333,177.43666666666664,324.5433333333333,1989Q4,0.7154057232457989,-0.8755979522757196,5.05011152870718,-4.4267551812808055,-0.5364622884158621,1.663483575248259,33.18787447675851
276.82666666666665,234.37,486.88,289.8966666666667,276.99333333333334,178.49333333333334,415.50666666666666,1990Q1,1.0119684732898593,-0.7859682790540279,6.213686836000831,-6.775645835566491,2.327356910649203,0.5955176494899739,28.02810102400297
266.5933333333333,238.83,415.7766666666666,295.16333333333336,279.09,185.58,434.02,1990Q2,-3.696657354782784,1.9029739301105186,-14.603872275167063,1.8167392979107522,0.7569375917591215,3.97026966459999,4.4556044026569985
283.43333333333334,233.49,532.9233333333333,318.01,274.69,167.36666666666665,254.86666666666667,1990Q3,6.316737102703263,-2.2359000125612427,28.175382617270508,7.740347152424065,-1.5765523666200765,-9.814275963645525,-41.27766769580511
286.9733333333333,220.09,622.8966666666666,294.2633333333333,256.82666666666665,159.01333333333332,365.03,1990Q4,1.248970951428885,-5.739003811726418,16.88297878994478,-7.467270421265582,-6.503088329874895,-4.991037641903995,43.22390792571278
260.4266666666667,215.00666666666663,484.3066666666667,280.20666666666665,247.63666666666663,160.49666666666667,464.1666666666667,1991Q1,-9.250569158574539,-2.309661199206403,-22.249276230942527,-4.776900508614734,-3.578288858893164,0.932835820895539,27.158498388260345
256.74,215.79,458.06,271.62333333333333,252.91333333333333,165.10333333333332,380.53,1991Q2,-1.4156256399754263,0.3643297882236274,-5.419431214382076,-3.0632152458899276,2.130809923140098,2.870256910839264,-18.01867145421904
246.56333333333336,202.54666666666665,462.6233333333333,263.28000000000003,235.15666666666667,155.09,217.31333333333336,1991Q3,-3.963802549920792,-6.137139502911781,0.9962304792676235,-3.071655601506984,-7.020850357171094,-6.064888655589417,-42.891931428971866
246.33,198.99666666666667,479.47333333333336,254.98,229.14666666666668,151.82,396.8233333333333,1991Q4,-0.09463423866755694,-1.7526825093805432,3.6422719707177365,-3.1525372227286685,-2.5557429798574005,-2.108453156231871,82.60422738288797
246.38666666666663,209.41333333333333,429.4766666666667,260.4666666666667,240.89333333333332,160.76333333333332,599.1666666666666,1992Q1,0.02300437083042617,5.234593544280464,-10.427413411938103,2.1518027557717145,5.126265564994759,5.890747815395425,50.99078515208279
255.59333333333333,214.20666666666668,459.1366666666667,263.57,243.93666666666664,168.54999999999998,627.2766666666666,1992Q2,3.7366740624492856,2.288934165287171,6.90607949209503,1.1914512413616407,1.2633530746665178,4.843558854631036,4.691515994436712
257.0,212.63333333333333,474.4333333333333,268.43333333333334,244.69,162.63666666666666,534.9633333333334,1992Q3,0.550353426015282,-0.7344931685910883,3.331615132749133,1.8451771192978583,0.30882332845958427,-3.5083555819242496,-14.716525934861268
254.59333333333333,209.0133333333333,478.2033333333333,246.29,249.17666666666665,162.0533333333333,574.7633333333333,1992Q4,-0.9364461738002539,-1.7024612008151863,0.7946321927914113,-8.24909971439216,1.8336125982535645,-0.3586727060318595,7.439762226694646
266.45666666666665,228.42666666666665,455.4866666666667,243.97333333333333,301.05,167.42333333333332,672.1566666666666,1993Q1,4.659718767184251,9.288083694820127,-4.7504199747666505,-0.9406255498260796,20.817893596243643,3.313723876912955,16.9449454558108
258.1766666666667,217.08,460.47,241.33666666666667,266.75,169.73,622.9966666666667,1993Q2,-3.107447114602735,-4.967312631333165,1.094067883436045,-1.0807192042846192,-11.393456236505573,1.3777450375296096,-7.313771095032406
248.41,212.20666666666668,427.8133333333333,240.68,253.33,171.9433333333333,519.3333333333334,1993Q3,-3.7829393309490977,-2.2449480990111126,-7.092029158613322,-0.272095689286056,-5.030927835051546,1.3040318937920903,-16.63946837596776
255.88666666666668,225.27666666666664,413.2033333333334,232.75,294.1666666666667,173.71,575.7866666666667,1993Q4,3.00980905223891,6.15909019509282,-3.4150408277753286,-3.294831311284696,16.11994894669666,1.0274702905996413,10.87034659820283
262.62666666666667,238.77666666666667,394.8566666666666,253.54,310.9066666666667,181.12,609.9533333333334,1994Q1,2.633978584269059,5.992631283014971,-4.440106162422075,8.93233082706766,5.690651558073667,4.265730240055254,5.93391070766951
