REF_DATE,Final consumption expenditure,Gross fixed capital formation,General governments final consumption expenditure,Exports of goods and services,Less: imports of goods and services
2009-01-01,-0.0024079459496775257,-0.10619673397626173,9.750182823609066e-05,-0.09003223111236736,-0.10168356784516241
2009-04-01,0.007666756930870378,-0.0047627906582086155,0.007814154473040347,-0.0411916770950409,-0.015849003523129568
2009-07-01,0.008352058171212207,0.030860999247336096,0.00528675698264891,0.026507959315354768,0.06156637018549027
2009-10-01,0.006756203047057596,0.04605381265699826,0.008173039720650976,0.023637567663763903,0.038095399819335185
2010-01-01,0.010486995847241332,0.03467160508359335,0.008919679012100445,0.01383052518158756,0.04316584887998509
2010-04-01,0.005901226811314331,0.02106623129871643,-0.0011382405100377468,0.032259708185248925,0.027780134099430143
2010-07-01,0.00679449400121257,0.011282800153864514,0.003534257825181797,-0.0001834170603380869,0.018655004104687123
2010-10-01,0.008810587653282909,0.017472579090982876,0.006903904854787868,0.023953723425748308,0.003936255337386285
2011-01-01,0.0018058022388984796,0.01056726232221017,0.0008047207512920096,0.001765844480786427,0.02186152952721443
2011-04-01,0.0043580238341522914,0.008594714194410713,0.0037795177160280247,-0.014801151419209901,0.009463192936713938
2011-07-01,0.00431024419363446,0.004002570500373892,0.004348984892493135,0.05379680627519079,0.00786492119163995
2011-10-01,0.004929980097886144,0.009747700797060332,0.0021888094006978775,0.01272724214583576,0.009786554977873507
2012-01-01,0.0044243450080259095,0.027354542087776323,0.0013228567555980675,-0.0017626442504266038,0.01782190113393689
2012-04-01,0.0002600381559130227,0.010416343850016219,-0.002725998596091017,0.0008465256467911075,0.00026982001626940644
2012-07-01,0.006115635029315669,-0.0014187508606742227,0.006180438067351801,-0.006714595707800086,0.0107182819607754
2012-10-01,0.0037239420989472194,0.007210320752070842,-0.0006743128475488191,-0.002510371083189966,-0.003468178009550016
2013-01-01,0.0019878943687583472,0.005494427111692346,-0.010518786635101307,0.01567992993666323,0.011711291099745225
2013-04-01,0.005448708323198659,0.00022639422023651434,-0.0044635440083133915,0.018172886004027333,0.01051203068852935
2013-07-01,0.006440539015764912,0.001076147888262824,0.00499678106872814,-0.007058212257058827,-0.004566813978291506
2013-10-01,0.005993382314271045,0.003580124731545453,0.006129695692489889,0.013804180177327652,0.0018613488656846755
2014-01-01,0.0028471472202138415,0.0022955966153546115,0.0028778841686669665,-0.003303876934948491,-0.005961305412514051
2014-04-01,0.005643208772077912,0.008635986901138537,-0.003745482746031925,0.058686381248458375,0.033204903886627335
2014-07-01,0.005563805351497919,0.01363142157986097,0.0004564744560546785,0.014824319864006341,0.004087058157674406
2014-10-01,0.004689527218436851,0.013176452095732927,-0.0030304171622130838,0.005361453921622683,0.00794685827783681
2015-01-01,0.004839769038939679,-0.043065217540972256,0.01353338414950045,-0.010259298546445805,-0.004534361464518355
